threshold,value_share_pct
0.099,0.0652620483601311
0.0991,0.0652620483601311
0.09925,0.0652620483601311
0.0995,0.0651193568198028
0.09975,0.0651193568198028
0.1,0.0651193568198028
0.10025,0.0651193568198028
0.1005,0.0606507545856512
0.10075,0.0606507545856512
0.101,0.0606507545856512
0.10105,0.0606507545856512
0.10125,0.0601760274755274
0.1015,0.0601760274755274
0.10175,0.0583883832708702
0.102,0.0583883832708702
0.10225,0.0583883832708702
0.1025,0.0555438459872082
0.10275,0.0539193166806084
0.103,0.0539193166806084
0.10325,0.0539193166806084
0.1035,0.0539193166806084
0.10375,0.0539193166806084
0.104,0.0530210629003279
0.10425,0.0530210629003279
0.1045,0.0423275508820573
0.10475,0.039462919023575
0.1049499999999999,0.039462919023575
0.105,0.039462919023575
0.10525,0.039462919023575
0.1055,0.039462919023575
0.10575,0.039462919023575
0.106,0.039462919023575
0.10625,0.039462919023575
0.1065,0.039462919023575
0.10675,0.039462919023575
0.1069,0.039462919023575
0.107,0.039462919023575
0.10725,0.039462919023575
0.1075,0.039462919023575
0.10775,0.039462919023575
0.108,0.039462919023575
0.10825,0.039462919023575
0.1085,0.039462919023575
0.10875,0.039462919023575
0.10885,0.039462919023575
0.109,0.039462919023575
0.10925,0.039462919023575
0.1095,0.039462919023575
0.10975,0.039462919023575
0.11,0.039462919023575
0.11025,0.039462919023575
0.1105,0.039462919023575
0.11075,0.0391549047416389
0.1108,0.0391549047416389
0.111,0.0391549047416389
0.11125,0.0391549047416389
0.1115,0.0389125177709051
0.11175,0.0389125177709051
0.112,0.0389125177709051
0.11225,0.0389125177709051
0.1125,0.0389125177709051
0.1127499999999999,0.0389125177709051
0.11275,0.0389125177709051
0.1129999999999999,0.0389125177709051
0.1132499999999999,0.0389125177709051
0.1134999999999999,0.0389125177709051
0.1137499999999999,0.0389125177709051
0.1139999999999999,0.0389125177709051
0.1142499999999999,0.0389125177709051
0.1144999999999999,0.0389125177709051
0.1147,0.0389125177709051
0.1147499999999999,0.0389125177709051
0.1149999999999999,0.0389125177709051
0.1152499999999999,0.0389125177709051
0.1154999999999999,0.0387999321920545
0.1157499999999999,0.0385270711177918
0.1159999999999999,0.0385270711177918
0.1162499999999999,0.0385270711177918
0.1164999999999999,0.037134527652383
0.11665,0.037134527652383
0.1167499999999999,0.0172250131580418
0.1169999999999999,0.0172250131580418
0.11725,0.0172250131580418
0.1175,0.0172250131580418
0.11775,0.0172250131580418
0.118,0.0172250131580418
0.11825,0.0172250131580418
0.1185,0.0172250131580418
0.1185999999999999,0.0172250131580418
0.11875,0.0172250131580418
0.119,0.0159476387581349
0.11925,0.0159476387581349
0.1195,0.0159476387581349
0.11975,0.0159476387581349
0.12,0.0159476387581349
0.12025,0.0159476387581349
0.1205,0.0159476387581349
0.1205499999999999,0.0159476387581349
0.12075,0.0159476387581349
0.121,0.0158254814250378
0.12125,0.0158254814250378
0.1215,0.0158254814250378
0.12175,0.0158254814250378
0.122,0.0158254814250378
0.12225,0.0158254814250378
0.1225,0.0155276591833114
0.12275,0.0155276591833114
0.123,0.0152020743108389
0.12325,0.0152020743108389
0.1235,0.0152020743108389
0.12375,0.0152020743108389
0.124,0.0152020743108389
0.12425,0.0152020743108389
0.12445,0.0152020743108389
0.1245,0.0152020743108389
0.12475,0.0152020743108389
0.125,0.0152020743108389
0.12525,0.0152020743108389
0.1255,0.0152020743108389
0.12575,0.0146639165898702
0.126,0.0146639165898702
0.12625,0.0146639165898702
0.1263999999999999,0.0146639165898702
0.1265,0.0146639165898702
0.12675,0.0146639165898702
0.127,0.0146639165898702
0.12725,0.0146639165898702
0.1275,0.0146639165898702
0.12775,0.0146639165898702
0.128,0.0146639165898702
