year,exporter,importer,index,longitude,latitude
2021,TUR,KOR,45,69.999915,8.582747
2021,TUR,KOR,46,70.817426,8.365148
2021,TUR,KOR,47,75.966807,6.966807
2021,TUR,KOR,48,78.019032,6.387793
2021,TUR,KOR,49,80.1,5.8
2021,TUR,KOR,50,81.9,5.9
2021,TUR,KOR,51,85.9479,6.1983
2021,TUR,KOR,52,90.0,6.4664
2021,TUR,KOR,53,94.326449,6.157121
2021,TUR,KOR,54,98.128129,5.811729
2021,TUR,KOR,55,99.763807,4.084523
2021,TUR,KOR,56,100.6,3.2
2021,TUR,KOR,57,101.316415,2.586072
2021,TUR,KOR,58,102.0,2.0
2021,TUR,KOR,59,103.6,1.1
2021,TUR,KOR,60,103.861103,1.171415
2021,TUR,KOR,61,104.145848,1.249295
2021,TUR,KOR,62,104.482294,1.341312
2021,TUR,KOR,63,108.7023,8.3192
2021,TUR,KOR,64,110.027598,10.173186
2021,TUR,KOR,65,110.80697,11.263464
2021,TUR,KOR,66,111.0534,11.6082
2021,TUR,KOR,67,111.478346,12.523981
2021,TUR,KOR,68,112.965,15.7278
2021,TUR,KOR,69,114.338334,17.570129
2021,TUR,KOR,70,115.841059,19.666279
2021,TUR,KOR,71,116.5017,20.601113
2021,TUR,KOR,72,117.437994,21.922538
2021,TUR,KOR,73,118.030487,22.691517
2021,TUR,KOR,74,118.203464,22.930938
2021,TUR,KOR,75,118.724128,23.582665
2021,TUR,KOR,76,118.980046,23.949944
2021,TUR,KOR,77,119.33882,24.448861
2021,TUR,KOR,78,119.523707,24.707707
2021,TUR,KOR,79,119.761963,25.085599
2021,TUR,KOR,80,119.820497,25.236972
2021,TUR,KOR,81,120.0,25.7
2021,TUR,KOR,82,120.232569,26.078521
2021,TUR,KOR,83,120.787503,26.976762
2021,TUR,KOR,84,121.3,27.8
2021,TUR,KOR,85,122.23938,28.579698
2021,TUR,KOR,86,122.557297,29.38397
2021,TUR,KOR,87,122.652515,29.623632
